kuerzel	PE
korrekturkurs0	5a M
häufigkeit0	3
dauer0	1
dauer_anders0	
schreiber0	21
bemerkung0	
nachschr0	nein
andereeingabe0	
nicht0	
korrekturkurs1	6a M
häufigkeit1	3
dauer1	1
dauer_anders1	
schreiber1	22
bemerkung1	
nachschr1	nein
andereeingabe1	
nicht1	
korrekturkurs2	7c M
häufigkeit2	3
dauer2	60
dauer_anders2	
schreiber2	27
bemerkung2	
nachschr2	ja
andereeingabe2	
nicht2	
korrekturkurs3	8 B/C
häufigkeit3	2
dauer3	60
dauer_anders3	
schreiber3	16
bemerkung3	
nachschr3	ja
andereeingabe3	
nicht3	
korrekturkurs4	Q1 M-LK
häufigkeit4	2
dauer4	135
dauer_anders4	135
schreiber4	24
bemerkung4	
nachschr4	nein
andereeingabe4	
nicht4	
klassenleitung_janein	ja
klassenleitung_klasse	5a
klassenleitung_aufteilung	60:60
kommentar	
