kuerzel	VS
korrekturkurs0	7b F6
häufigkeit0	3
dauer0	1
dauer_anders0	
schreiber0	23
bemerkung0	
nachschr0	2
andereeingabe0	
nicht0	
korrekturkurs1	9b E
häufigkeit1	2
dauer1	60
dauer_anders1	
schreiber1	30
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	EF E-GK
häufigkeit2	2
dauer2	2
dauer_anders2	
schreiber2	17
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	Q2 E-LK
häufigkeit3	2
dauer3	4
dauer_anders3	
schreiber3	17
bemerkung3	
nachschr3	0
andereeingabe3	
nicht3	
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
