kuerzel	KN
korrekturkurs0	5b M
häufigkeit0	3
dauer0	1
dauer_anders0	
schreiber0	30
bemerkung0	
nachschr0	nein
andereeingabe0	
nicht0	
korrekturkurs1	Q2 M-GK
häufigkeit1	2
dauer1	3
dauer_anders1	
schreiber1	14
bemerkung1	M-GK2
nachschr1	1
andereeingabe1	
nicht1	
korrekturkurs2	Q2 M-GK
häufigkeit2	2
dauer2	3
dauer_anders2	
schreiber2	14
bemerkung2	M-GK4
nachschr2	nein
andereeingabe2	
nicht2	
klassenleitung_janein	ja
klassenleitung_klasse	5b
klassenleitung_nr	2
klassenleitung_aufteilung	
kommentar	Abi-Aufgabe NL: 1 Aufgabe, 1 Erwartungshorizont (33:33:33 mit HN und BM?)
