kuerzel	KM
korrekturkurs0	7a L6
häufigkeit0	3
dauer0	1
dauer_anders0	
schreiber0	14
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	8a L6
häufigkeit1	2
dauer1	1
dauer_anders1	
schreiber1	19
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	9a L6
häufigkeit2	2
dauer2	2
dauer_anders2	
schreiber2	26
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	Q1 Ge-GK
häufigkeit3	2
dauer3	90
dauer_anders3	
schreiber3	8
bemerkung3	
nachschr3	0
andereeingabe3	
nicht3	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
