kuerzel	VOG
korrekturkurs0	EF Ek-GK
häufigkeit0	2
dauer0	2
dauer_anders0	
schreiber0	14
bemerkung0	
nachschr0	nein
andereeingabe0	
nicht0	
korrekturkurs1	Q1 Ek-LK
häufigkeit1	2
dauer1	135
dauer_anders1	
schreiber1	19
bemerkung1	
nachschr1	nein
andereeingabe1	
nicht1	
korrekturkurs2	Q1 Ek-GK
häufigkeit2	2
dauer2	90
dauer_anders2	
schreiber2	17
bemerkung2	
nachschr2	nein
andereeingabe2	
nicht2	
klassenleitung_janein	ja
klassenleitung_klasse	9a
klassenleitung_nr	2
klassenleitung_aufteilung	80/40
kommentar	
