kuerzel	RA
korrekturkurs0	6d D
häufigkeit0	3
dauer0	1
dauer_anders0	
schreiber0	29
bemerkung0	
nachschr0	3
andereeingabe0	
nicht0	
korrekturkurs1	EF Ch-GK
häufigkeit1	1
dauer1	2
dauer_anders1	
schreiber1	8
bemerkung1	
nachschr1	nein
andereeingabe1	
nicht1	
korrekturkurs2	Q1 D-LK
häufigkeit2	2
dauer2	3
dauer_anders2	155 min.
schreiber2	23
bemerkung2	4 Facharbeiten (dann 19 Schreiber)
nachschr2	2
andereeingabe2	
nicht2	
klassenleitung_janein	ja
klassenleitung_klasse	6d
klassenleitung_nr	1
klassenleitung_aufteilung	60
kommentar	
