kuerzel	BAR
korrekturkurs0	Q1 Bi-LK
häufigkeit0	2
dauer0	135
dauer_anders0	
schreiber0	19
bemerkung0	6 Facharbeiten + 13 Klausuren
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	Q1 Rk-GK
häufigkeit1	2
dauer1	135
dauer_anders1	
schreiber1	1
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	Q1 Rk-GK
häufigkeit2	2
dauer2	135
dauer_anders2	
schreiber2	2
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	Q2 Rk-GK
häufigkeit3	_
dauer3	0
dauer_anders3	
schreiber3	
bemerkung3	
nachschr3	0
andereeingabe3	
nicht3	
korrekturkurs4	Q2 Rk-GK
häufigkeit4	_
dauer4	0
dauer_anders4	
schreiber4	
bemerkung4	
nachschr4	0
andereeingabe4	
nicht4	
korrekturkurs5	Q2 Bi-GK
häufigkeit5	2
dauer5	4
dauer_anders5	
schreiber5	15
bemerkung5	
nachschr5	0
andereeingabe5	
nicht5	
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
