kuerzel	PIE
korrekturkurs0	5a L5
häufigkeit0	2
dauer0	1
dauer_anders0	
schreiber0	24
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	6 E5
häufigkeit1	3
dauer1	1
dauer_anders1	
schreiber1	25
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	7a L5
häufigkeit2	3
dauer2	1
dauer_anders2	
schreiber2	20
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	EF L5-GK
häufigkeit3	2
dauer3	2
dauer_anders3	
schreiber3	15
bemerkung3	
nachschr3	0
andereeingabe3	
nicht3	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	Es fehlt ein Korrekturkurs: Englisch Zusatz in 5 mit 1x im Halbjahr, 1 Schulstunde, 24 SchülerInnen
