kuerzel	DR
korrekturkurs0	5c M
häufigkeit0	3
dauer0	1
dauer_anders0	
schreiber0	30
bemerkung0	
nachschr0	nein
andereeingabe0	
nicht0	
korrekturkurs1	9d M
häufigkeit1	2
dauer1	2
dauer_anders1	
schreiber1	29
bemerkung1	
nachschr1	2
andereeingabe1	
nicht1	
korrekturkurs2	Q2 M-GK
häufigkeit2	2
dauer2	3
dauer_anders2	
schreiber2	15
bemerkung2	
nachschr2	1
andereeingabe2	
nicht2	
korrekturkurs3	Q2 Ch-GK
häufigkeit3	2
dauer3	3
dauer_anders3	
schreiber3	3
bemerkung3	
nachschr3	nein
andereeingabe3	
nicht3	
klassenleitung_janein	ja
klassenleitung_klasse	05c
klassenleitung_nr	2
klassenleitung_aufteilung	
kommentar	
