kuerzel	BAR
korrekturkurs0	EF Bi
häufigkeit0	2
dauer0	2
schreiber0	22
bemerkung0	
andereeingabe0	
nicht0	
korrekturkurs1	EF Bi
häufigkeit1	2
dauer1	2
schreiber1	17
bemerkung1	
andereeingabe1	
nicht1	
korrekturkurs2	Q1 Bi
häufigkeit2	2
dauer2	2
schreiber2	17
bemerkung2	
andereeingabe2	
nicht2	
korrekturkurs3	Q2 Bi
häufigkeit3	2
dauer3	3
schreiber3	6
bemerkung3	
andereeingabe3	
nicht3	
korrekturkurs4	Q1 Rk
häufigkeit4	0
dauer4	0
schreiber4	
bemerkung4	
andereeingabe4	
nicht4	
korrekturkurs5	Q1 Rk
häufigkeit5	0
dauer5	0
schreiber5	
bemerkung5	
andereeingabe5	
nicht5	
klassenleitung_janein	ja
klassenleitung_klasse	 Stufe EF
klassenleitung_nr	1
klassenleitung_aufteilung	2x60P.
kommentar	Die Stufenleitung EF teilen MKI und ich uns hälftig.
