kuerzel	VF
korrekturkurs0	5 E5
häufigkeit0	3
dauer0	1
schreiber0	19
bemerkung0	
andereeingabe0	
nicht0	
korrekturkurs1	9c E
häufigkeit1	2
dauer1	2
schreiber1	26
bemerkung1	75min
andereeingabe1	
nicht1	
korrekturkurs2	EF E
häufigkeit2	a
dauer2	0
schreiber2	
bemerkung2	
andereeingabe2	Vertiefungskurs
nicht2	
korrekturkurs3	8 If
häufigkeit3	2
dauer3	1
schreiber3	20
bemerkung3	
andereeingabe3	
nicht3	
korrekturkurs4	9 If
häufigkeit4	2
dauer4	60
schreiber4	16
bemerkung4	
andereeingabe4	
nicht4	
korrekturkurs5	EF If
häufigkeit5	1
dauer5	2
schreiber5	10
bemerkung5	
andereeingabe5	
nicht5	
korrekturkurs6	Q2 Ek
häufigkeit6	2
dauer6	4
schreiber6	26
bemerkung6	
andereeingabe6	
nicht6	
klassenleitung_janein	ja
klassenleitung_klasse	9c
klassenleitung_nr	2
klassenleitung_aufteilung	
kommentar	
