kuerzel	TE
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	7a L5
häufigkeit0	1
dauer0	1
dauer_anders0	
schreiber0	15
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	9a L5
häufigkeit1	1
dauer1	60
dauer_anders1	
schreiber1	21
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	Q1 G-LK
häufigkeit2	2
dauer2	135
dauer_anders2	
schreiber2	6
bemerkung2	
nachschr2	0
facharbeiten2	1
andereeingabe2	
nicht2	
korrekturkurs3	Q1 I-GK
häufigkeit3	2
dauer3	135
dauer_anders3	
schreiber3	10
bemerkung3	
nachschr3	1
facharbeiten3	0
andereeingabe3	
nicht3	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
