kuerzel	IK
korrekturkurs0	Q1 MUN
häufigkeit0	a
dauer0	0
schreiber0	
bemerkung0	
andereeingabe0	Portfolio, 16-18 Seiten (vgl. Facharbeit), 13 Schüler 
nicht0	
korrekturkurs1	Q2 E
häufigkeit1	2
dauer1	3
schreiber1	20
bemerkung1	
andereeingabe1	
nicht1	
korrekturkurs2	9 G/C
häufigkeit2	2
dauer2	60
schreiber2	16
bemerkung2	
andereeingabe2	
nicht2	
korrekturkurs3	Q1 Ek
häufigkeit3	2
dauer3	3
schreiber3	23
bemerkung3	
andereeingabe3	
nicht3	
klassenleitung_janein	ja
klassenleitung_klasse	Q2
klassenleitung_aufteilung	
kommentar	En 5z (1xHlbjx45minx15Schüler)
