kuerzel	PIE
korrekturkurs0	5a L5
häufigkeit0	1
dauer0	1
dauer_anders0	
schreiber0	24
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	6 E5
häufigkeit1	1
dauer1	1
dauer_anders1	
schreiber1	25
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	7a L5
häufigkeit2	1
dauer2	1
dauer_anders2	
schreiber2	20
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	EF L5-GK
häufigkeit3	0
dauer3	0
dauer_anders3	
schreiber3	
bemerkung3	
nachschr3	0
andereeingabe3	
nicht3	
abi_zweit4	Q2 E-GK1 von MOE
häufigkeit4	normalGK
dauer4	Abi
dauer_anders4	
schreiber4	2
bemerkung4	
nachschr4	nein
andereeingabe4	
nicht4	
abi_zweit5	Q2 E-GK2 von KIH
häufigkeit5	normalGK
dauer5	Abi
dauer_anders5	
schreiber5	7
bemerkung5	
nachschr5	nein
andereeingabe5	
nicht5	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
