kuerzel	MKI
korrekturkurs0	8b F6
häufigkeit0	1
dauer0	1
dauer_anders0	
schreiber0	23
bemerkung0	Die SuS sind aus hauptsächlich aus Klasse 8c und zwei aus 8a. War im 1. Halbjahr auch schon so.
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	9c F6
häufigkeit1	1
dauer1	60
dauer_anders1	
schreiber1	29
bemerkung1	
nachschr1	1
andereeingabe1	
nicht1	
korrekturkurs2	Q1 F-GK
häufigkeit2	1
dauer2	135
dauer_anders2	
schreiber2	9
bemerkung2	
nachschr2	1
facharbeiten2	0
andereeingabe2	
nicht2	
korrekturkurs3	Q1 Re-GK
häufigkeit3	_
dauer3	0
dauer_anders3	
schreiber3	0
bemerkung3	
nachschr3	0
facharbeiten3	0
andereeingabe3	
nicht3	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
