kuerzel	PS
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	9b F6
häufigkeit0	1
dauer0	60
dauer_anders0	
schreiber0	23
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	EF Pl-GK
häufigkeit1	1
dauer1	2
dauer_anders1	
schreiber1	5
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	Q1 Ge-LK
häufigkeit2	2
dauer2	135
dauer_anders2	
schreiber2	-15
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	Q2 Pl-GK
häufigkeit3	2
dauer3	3
dauer_anders3	
schreiber3	1
bemerkung3	
nachschr3	0
andereeingabe3	
nicht3	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
