kuerzel	LC
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	5b M
häufigkeit0	2
dauer0	1
dauer_anders0	
schreiber0	29
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	8d M
häufigkeit1	2
dauer1	60
dauer_anders1	
schreiber1	24
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	EF M-GK
häufigkeit2	2
dauer2	2
dauer_anders2	
schreiber2	22
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	Q1 M-LK
häufigkeit3	2
dauer3	135
dauer_anders3	
schreiber3	12
bemerkung3	
nachschr3	0
andereeingabe3	
nicht3	
korrekturkurs4	Q1 Rk-GK
häufigkeit4	2
dauer4	90
dauer_anders4	
schreiber4	2
bemerkung4	
nachschr4	0
andereeingabe4	
nicht4	
klassenleitung_janein	ja
klassenleitung_klasse	5b
klassenleitung_nr	1
klassenleitung_aufteilung	
kommentar	
