kuerzel	WK
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	5c D
häufigkeit0	2
dauer0	1
dauer_anders0	
schreiber0	29
bemerkung0	
nachschr0	1
andereeingabe0	
nicht0	
korrekturkurs1	EF Sw-GK
häufigkeit1	1
dauer1	2
dauer_anders1	
schreiber1	12
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	Q1 Sw-LK
häufigkeit2	2
dauer2	135
dauer_anders2	
schreiber2	15
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	Q1 Sw-GK
häufigkeit3	2
dauer3	90
dauer_anders3	
schreiber3	6
bemerkung3	
nachschr3	0
andereeingabe3	
nicht3	
klassenleitung_janein	ja
klassenleitung_klasse	5c
klassenleitung_nr	1
klassenleitung_aufteilung	90
kommentar	
