kuerzel	MKI
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	7c F7
häufigkeit0	2
dauer0	1
dauer_anders0	
schreiber0	23
bemerkung0	
nachschr0	1
andereeingabe0	
nicht0	
korrekturkurs1	9c F6
häufigkeit1	2
dauer1	1
dauer_anders1	
schreiber1	22
bemerkung1	
nachschr1	1
andereeingabe1	
nicht1	
korrekturkurs2	EF Re-GK
häufigkeit2	_
dauer2	0
dauer_anders2	
schreiber2	0
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	Q1 Re-GK
häufigkeit3	_
dauer3	0
dauer_anders3	
schreiber3	0
bemerkung3	
nachschr3	0
andereeingabe3	
nicht3	
korrekturkurs4	Q2 F-GK
häufigkeit4	2
dauer4	4
dauer_anders4	
schreiber4	8
bemerkung4	
nachschr4	2
andereeingabe4	
nicht4	
korrekturkurs5	Q2 Re-GK
häufigkeit5	_
dauer5	0
dauer_anders5	
schreiber5	0
bemerkung5	
nachschr5	0
andereeingabe5	
nicht5	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
