kuerzel	DR
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	6c M
häufigkeit0	2
dauer0	1
dauer_anders0	
schreiber0	30
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	7b M
häufigkeit1	2
dauer1	1
dauer_anders1	
schreiber1	28
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	9b M
häufigkeit2	2
dauer2	2
dauer_anders2	
schreiber2	30
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	EF MVt-GK
häufigkeit3	_
dauer3	0
dauer_anders3	
schreiber3	
bemerkung3	
nachschr3	0
andereeingabe3	
nicht3	
klassenleitung_janein	ja
klassenleitung_klasse	6c
klassenleitung_nr	2
klassenleitung_aufteilung	
kommentar	Bis Ende November hatte ich den Q1-GK-M1 mit 19 SuS. In diese Zeit fiel eine Klausur, Dauer 90 min, Schreiber 19.
