kuerzel	GP
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	EF E-GK
häufigkeit0	1
dauer0	2
dauer_anders0	
schreiber0	23
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	EF Pl-GK
häufigkeit1	1
dauer1	2
dauer_anders1	
schreiber1	3
bemerkung1	Die Klausur im 2. HJ wird von PS erstellt. ✔
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	Q1 Pl-GK
häufigkeit2	1
dauer2	135
dauer_anders2	
schreiber2	2
bemerkung2	Die 3. Klausur mit Nachklausur wurde von SBM erstellt und korrigiert. ✔
nachschr2	1
facharbeiten2	0
andereeingabe2	
nicht2	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	Krank vom 27.1. - 28.5.2021 (KN: dürfte sich nicht auf diese Auswertung auswirken) ✔
