kuerzel	WK
deputat_korrekt_janein	nein
deputat_berichtigung	Entlastung LR 0,24 fehlt
korrekturkurs0	5c D
häufigkeit0	2
dauer0	1
dauer_anders0	
schreiber0	29
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	EF Sw-GK
häufigkeit1	1
dauer1	2
dauer_anders1	
schreiber1	10
bemerkung1	
nachschr1	1
andereeingabe1	
nicht1	
korrekturkurs2	Q1 Sw-LK
häufigkeit2	2
dauer2	180
dauer_anders2	
schreiber2	15
bemerkung2	
nachschr2	0
facharbeiten2	5
andereeingabe2	
nicht2	
korrekturkurs3	Q1 Sw-GK
häufigkeit3	2
dauer3	135
dauer_anders3	
schreiber3	3
bemerkung3	
nachschr3	0
facharbeiten3	0
andereeingabe3	
nicht3	
abi_zweit4	Q2 Sw-LK von HAV
häufigkeit4	normalLK
dauer4	Abi
dauer_anders4	
schreiber4	14
bemerkung4	
nachschr4	nein
andereeingabe4	
nicht4	
klassenleitung_janein	ja
klassenleitung_klasse	5c
klassenleitung_nr	1
klassenleitung_aufteilung	90
kommentar	
