kuerzel	NC
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	7d E5
häufigkeit0	2
dauer0	1
dauer_anders0	
schreiber0	27
bemerkung0	
nachschr0	2
andereeingabe0	
nicht0	
korrekturkurs1	8a E
häufigkeit1	2
dauer1	60
dauer_anders1	
schreiber1	20
bemerkung1	
nachschr1	1
andereeingabe1	
nicht1	
korrekturkurs2	8 G/C
häufigkeit2	1
dauer2	2
dauer_anders2	
schreiber2	24
bemerkung2	
nachschr2	1
andereeingabe2	
nicht2	
klassenleitung_janein	ja
klassenleitung_klasse	8a
klassenleitung_nr	1
klassenleitung_aufteilung	
kommentar	
