kuerzel	GUN
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	8a L5
häufigkeit0	1
dauer0	60
dauer_anders0	
schreiber0	19
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	EF L5-GK
häufigkeit1	1
dauer1	2
dauer_anders1	
schreiber1	21
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	EF G-GK
häufigkeit2	1
dauer2	2
dauer_anders2	
schreiber2	3
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	Q1 L5-LK
häufigkeit3	2
dauer3	135
dauer_anders3	
schreiber3	7
bemerkung3	
nachschr3	0
facharbeiten3	0
andereeingabe3	
nicht3	
abi_erst4	Q2 Ge-LK
häufigkeit4	normalLK
dauer4	Abi
dauer_anders4	
schreiber4	11
bemerkung4	
nachschr4	1
andereeingabe4	
nicht4	
klassenleitung_janein	ja
klassenleitung_klasse	8b
klassenleitung_nr	2
klassenleitung_aufteilung	
kommentar	
