kuerzel	JAE
korrekturkurs0	8 If
häufigkeit0	1
dauer0	1
dauer_anders0	
schreiber0	24
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	9 If
häufigkeit1	0
dauer1	0
dauer_anders1	
schreiber1	
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	EF Pl-GK
häufigkeit2	0
dauer2	0
dauer_anders2	
schreiber2	
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
abi_erst3	Q2 If-GK
häufigkeit3	normalGK
dauer3	Abi
dauer_anders3	
schreiber3	1
bemerkung3	
nachschr3	nein
andereeingabe3	
nicht3	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
