kuerzel	NC
korrekturkurs0	6 E5
häufigkeit0	3
dauer0	1
dauer_anders0	
schreiber0	28
bemerkung0	
nachschr0	2
andereeingabe0	
nicht0	
korrekturkurs1	9c E
häufigkeit1	2
dauer1	2
dauer_anders1	
schreiber1	28
bemerkung1	
nachschr1	1
andereeingabe1	
nicht1	
korrekturkurs2	9 G/C
häufigkeit2	2
dauer2	2
dauer_anders2	
schreiber2	28
bemerkung2	
nachschr2	1
andereeingabe2	
nicht2	
korrekturkurs3	Q2 E-LK
häufigkeit3	2
dauer3	4
dauer_anders3	
schreiber3	14
bemerkung3	
nachschr3	1
andereeingabe3	
nicht3	
klassenleitung_janein	ja
klassenleitung_klasse	9c
klassenleitung_nr	1
klassenleitung_aufteilung	
kommentar	
